iter	RMSE
0	48.2954455
1	44.90516227
2	41.8247074
3	38.94013886
4	36.33200805
5	34.04574192
6	31.79981608
7	29.76569662
8	27.94720094
9	26.10752662
10	24.21752168
11	22.63563493
12	21.09104597
13	19.81107057
14	18.49180037
15	17.29286969
16	16.19188581
17	15.27198437
18	14.30593225
19	13.43244829
20	12.61295473
21	11.88648069
22	11.18726682
23	10.53517821
24	9.914567021
25	9.391903331
26	8.87281066
27	8.43035384
28	7.998381149
29	7.584798126
30	7.215328341
31	6.851311831
32	6.510343691
33	6.204982854
34	5.898274835
35	5.639629868
36	5.402676116
37	5.186366322
38	5.010537501
39	4.810433753
40	4.622618056
41	4.528816347
42	4.433181808
43	4.257458892
44	4.111916614
45	3.956713588
46	3.811752011
47	3.719385318
48	3.650168793
49	3.569475124
50	3.493730613
51	3.425509394
52	3.360008239
53	3.29525304
54	3.213335085
55	3.156921943
56	3.099748533
57	3.049798422
58	2.99132247
59	2.941844989
60	2.895130282
61	2.848077859
62	2.801540374
63	2.754073573
64	2.710948296
65	2.666908516
66	2.623471702
67	2.580534622
68	2.540674137
69	2.501817658
70	2.462814282
71	2.427173569
72	2.390197729
73	2.355449424
74	2.323381772
75	2.292941974
76	2.262933469
77	2.234398879
78	2.20700198
79	2.181039414
80	2.156117339
81	2.130592541
82	2.106252229
83	2.047782467
84	2.025023223
85	2.00331351
86	1.931238313
87	1.911617466
88	1.893271072
89	1.834237117
90	1.816018906
91	1.756725695
92	1.73965125
93	1.723486503
94	1.663955813
95	1.648894089
96	1.594238543
97	1.580123923
98	1.547800205
99	1.535031561
100	1.522145832
101	1.510281476
102	1.461061753
103	1.449896683
104	1.439257443
105	1.393652829
106	1.383716427
107	1.340360847
108	1.331025772
109	1.32183176
110	1.28228098
111	1.257505946
112	1.235547521
113	1.218633187
114	1.210597376
115	1.191917183
116	1.184499
117	1.177427691
118	1.163665274
119	1.148038822
120	1.141834387
121	1.135922881
122	1.130291251
123	1.124304614
124	1.111237889
125	1.091165485
126	1.086302949
127	1.081043844
128	1.062211162
129	1.051825384
130	1.02402851
131	1.014278987
132	1.010401873
133	1.004562011
134	0.9960718967
135	0.9684777561
136	0.955761307
137	0.9446015721
138	0.9401572107
139	0.9360282081
140	0.9184212858
141	0.9146339703
142	0.9110375267
143	0.8939570559
144	0.8821701984
145	0.8685388936
146	0.8566341677
147	0.853952786
148	0.8521613518
149	0.8504558428
150	0.8372260236
151	0.8335794151
152	0.8209475931
153	0.7991735467
154	0.7925185733
155	0.7806742517
156	0.7692665584
157	0.7583301782
158	0.7477970138
159	0.7353966709
160	0.7320244422
161	0.7199874979
162	0.7145631269
163	0.7051905734
164	0.6961691716
165	0.6932549561
166	0.6814977622
167	0.6795177256
168	0.668950676
169	0.6598330454
170	0.6579878382
171	0.6537637989
172	0.6455598885
173	0.6439153823
174	0.6346022028
175	0.6327223995
176	0.6228644269
177	0.6159199297
178	0.6066190054
179	0.5974991665
180	0.588769269
181	0.5810378212
182	0.5712908156
183	0.5625869622
184	0.5534935867
185	0.541340574
186	0.5338148044
187	0.5266091693
188	0.5197088199
189	0.5125804293
190	0.5057990228
191	0.4993485104
192	0.4932135141
193	0.4860012773
194	0.4804801364
195	0.4744399315
196	0.467579348
197	0.4610727737
198	0.4549091031
199	0.449512196
200	0.4409246203
201	0.4331083158
202	0.4263318561
203	0.4218451364
204	0.4175774349
205	0.4134595627
206	0.4057431018
207	0.4009680342
208	0.3965781289
209	0.3928410884
210	0.3860012539
211	0.3803489825
212	0.3759757871
213	0.372072892
214	0.3674104057
215	0.3606221211
216	0.3542183848
217	0.3519830549
218	0.3481243311
219	0.3446630284
220	0.341000082
221	0.3377221344
222	0.3343696262
223	0.3314032446
224	0.3283024493
225	0.325366981
226	0.3223838743
227	0.31949642
228	0.3168226513
229	0.3134876626
230	0.3084892263
231	0.3057378662
232	0.303244296
233	0.3009478074
234	0.2966701611
235	0.2953398218
236	0.2932074907
237	0.29195426
238	0.2907653006
239	0.2873584476
240	0.2862192486
241	0.2800557332
242	0.2769197502
243	0.2754814456
244	0.2727828277
245	0.2707511313
246	0.2667640238
247	0.2637685401
248	0.2624183792
249	0.261439627
250	0.2585661737
251	0.2566853759
252	0.2527062918
253	0.2510238491
254	0.2476335092
255	0.2459281492
256	0.2432373146
257	0.2416758225
258	0.2382138719
259	0.2357114698
260	0.2338532489
261	0.2293558828
262	0.2279513014
263	0.2252734336
264	0.2237447098
265	0.2224705632
266	0.2199948059
267	0.2184813778
268	0.216156126
269	0.2147506389
270	0.2138724772
271	0.2125895208
272	0.2117537751
273	0.2079321945
274	0.2071496772
275	0.2048637068
276	0.2013422666
277	0.197671648
278	0.196945839
279	0.1934734133
280	0.1914231756
281	0.189197524
282	0.1873912573
283	0.1865169608
284	0.1854336427
285	0.1846233948
286	0.1817510127
287	0.1799186169
288	0.1777251981
289	0.1765171544
290	0.1734445539
291	0.1704376364
292	0.169636298
293	0.1677071407
294	0.16684521
295	0.1653448066
296	0.1645224851
297	0.1631046627
298	0.1611759993
299	0.1604333023
300	0.1597006934
301	0.1590161902
302	0.1571882447
303	0.1543619427
304	0.1534519212
305	0.1513377985
306	0.1500456842
307	0.148410704
308	0.1462133734
309	0.145625613
310	0.1441325993
311	0.1427061061
312	0.1419157207
313	0.1407460563
314	0.1399989407
315	0.1394972092
316	0.1387522716
317	0.1373730977
318	0.1354142264
319	0.1340866994
320	0.1330802327
321	0.1316644025
322	0.129814271
323	0.128582127
324	0.1277967344
