iter	Passed	Remaining
0	1	1405
1	2	1216
2	3	1059
3	3	898
4	4	850
5	4	820
6	5	799
7	6	777
8	6	768
9	7	761
10	8	758
11	9	763
12	10	761
13	10	750
14	11	749
15	12	738
16	12	728
17	13	724
18	13	722
19	14	715
20	15	714
21	16	739
22	17	736
23	17	719
24	18	716
25	19	714
26	19	705
27	20	703
28	20	694
29	21	691
30	21	677
31	22	672
32	22	670
33	23	665
34	24	663
35	24	662
36	25	658
37	25	654
38	26	651
39	26	644
40	27	638
41	27	635
42	28	633
43	29	632
44	29	631
45	30	635
46	31	636
47	32	635
48	32	634
49	33	631
50	33	632
51	34	631
52	35	630
53	35	630
54	36	628
55	37	625
56	37	621
57	37	616
58	38	619
59	39	617
60	40	616
61	40	615
62	41	614
63	41	611
64	42	606
65	42	600
66	43	599
67	43	598
68	44	596
69	44	595
70	45	600
71	46	602
72	47	598
73	47	598
74	48	598
75	49	600
76	50	601
77	50	601
78	51	600
79	52	601
80	53	602
81	53	602
82	54	601
83	55	601
84	55	601
85	56	600
86	57	598
87	57	595
88	58	595
89	59	597
90	60	605
91	61	603
92	62	606
93	63	608
94	63	607
95	64	607
96	65	610
97	66	613
98	66	609
99	67	608
100	68	608
101	69	608
102	69	609
103	70	607
104	71	606
105	71	604
106	72	602
107	72	600
108	73	598
109	73	595
110	74	593
111	74	592
112	75	593
113	76	594
114	77	594
115	77	592
116	78	591
117	78	589
118	79	587
119	79	585
120	80	583
121	80	581
122	81	579
123	82	580
124	82	580
125	83	579
126	84	578
127	84	576
128	85	576
129	85	575
130	86	574
131	87	573
132	87	572
133	88	572
134	89	570
135	89	571
136	90	571
137	91	570
138	91	568
139	92	566
140	92	565
141	93	563
142	93	562
143	94	560
144	94	559
145	95	559
146	96	560
147	97	558
148	97	556
149	97	554
150	98	554
151	99	552
152	99	551
153	100	549
154	100	547
155	100	546
156	101	544
157	101	543
158	102	541
159	103	540
160	103	539
161	104	540
162	104	538
163	105	537
164	106	536
165	106	535
166	107	534
167	107	531
168	107	530
169	108	529
170	108	526
171	109	525
172	109	525
173	110	523
174	110	522
175	111	522
176	112	522
177	112	520
178	113	519
179	113	518
180	114	517
181	114	516
182	115	516
183	116	515
184	116	514
185	117	513
186	117	512
187	118	510
188	119	510
189	119	509
190	120	509
191	120	507
192	121	506
193	121	505
194	122	504
195	122	503
196	123	502
197	124	502
198	124	501
199	125	501
200	125	500
201	126	500
202	127	499
203	127	499
204	128	498
205	129	497
206	129	497
207	130	496
208	130	495
209	131	494
210	131	493
211	132	492
212	132	491
213	133	491
214	134	491
215	135	490
216	135	489
217	136	489
218	137	489
219	137	488
220	138	487
221	138	486
222	139	485
223	139	484
224	140	483
225	141	483
226	141	482
227	142	481
228	142	480
229	143	480
230	144	479
231	144	478
232	145	477
233	145	476
234	146	475
235	146	474
236	146	473
237	147	472
238	147	471
239	148	470
240	149	470
241	150	470
242	150	469
